korean,meaning_zh,part_of_speech,example_ko,example_zh,tags
예능,综艺（节目）,名词,오늘 예능 너무 재밌었어요.,今天的综艺太好笑了。,追星|综艺
예능감,综艺感（综艺天赋）,名词,예능감이 터졌어요.,综艺感爆发了。,追星|综艺|饭圈用语
게스트,嘉宾,名词,오늘 게스트로 나왔어요.,今天以嘉宾身份出现了。,追星|综艺
MC,主持人,名词,MC가 질문했어요.,主持人问了问题。,追星|综艺
리액션,反应、互动,名词,리액션이 너무 귀여워요.,反应太可爱了。,追星|综艺|感受
표정 관리,管理表情（控制表情不失控）,名词,표정 관리가 안 돼요.,表情管理失控了。,追星|饭圈用语
웃음 참기,忍住不笑,名词,웃음 참기가 너무 힘들어요.,忍住不笑太难了。,追星|综艺
리얼리티,真人秀,名词,리얼리티 영상이 올라왔어요.,真人秀视频更新了。,追星|综艺
브이로그,Vlog（视频日记）,名词,오늘 브이로그 너무 좋았어요.,今天的Vlog太好看了。,追星|数字生活
비하인드,幕后花絮,名词,비하인드 영상이 올라왔어요.,幕后花絮视频更新了。,追星|饭圈用语
라디오,广播、电台,名词,오늘 라디오 진행했어요.,今天主持了电台节目。,追星|综艺
사연,（听众/粉丝投稿的）故事、信件,名词,팬의 사연을 읽었어요.,读了粉丝的来信。,追星|互动
채택,被选中（信件/留言被选中读出）,名词,제 사연이 채택됐어요!,我的来信被选中了！,追星|互动|饭圈用语
선곡,选曲,名词,오늘 선곡이 완벽해요.,今天的选曲太完美了。,追星|音乐
포토존,拍照区,名词,포토존에서 찍었어요.,在拍照区拍了照。,追星|线下活动
경품,抽奖奖品,名词,경품에 당첨됐어요!,中奖了！,追星|线下活动
당첨,中签、中奖,名词,팬미팅 당첨됐어요.,粉丝见面会中签了。,追星|线下活动|饭圈用语
낙첨,落选、没中签,名词,또 낙첨됐어요.,又没中签。,追星|线下活动|饭圈用语
추첨,抽签,名词,추첨으로 결정해요.,用抽签决定。,追星|线下活动
포토 부스,拍照亭、大头贴机,名词,포토 부스에서 찍었어요.,在拍照亭拍了大头贴。,追星|线下活动
사인 소품,签名道具（带来让偶像签名的物品）,名词,사인 소품 미리 준비했어요.,提前准备好了签名道具。,追星|线下活动
본인 선물,给本人的礼物（直接递给偶像的礼物）,名词,본인 선물을 준비했어요.,准备了直接给偶像的礼物。,追星|线下活动
이벤트 존,活动区域,名词,이벤트 존에서 진행했어요.,在活动区域进行的。,追星|线下活动
오픈런,开门即跑（抢头位排队）,名词,오픈런 해야 돼요.,得开门就冲。,追星|线下活动|饭圈用语
응원색,应援色（偶像官方颜色）,名词,응원색은 보라색이에요.,应援色是紫色。,追星|应援|线下活动
공식 응원봉,官方应援棒,名词,공식 응원봉 샀어요.,买了官方应援棒。,追星|应援|周边
응원가,应援歌,名词,응원가를 미리 외웠어요.,提前把应援歌背下来了。,追星|应援|演唱会
공식 팬클럽,官方粉丝会,名词,공식 팬클럽에 가입했어요.,加入了官方粉丝会。,追星|粉丝|应援
팬클럽 이름,粉丝名,名词,팬클럽 이름이 뭐예요?,粉丝名叫什么？,追星|粉丝
공식 팬카페,官方粉丝社区,名词,공식 팬카페에서 확인했어요.,在官方粉丝社区确认了。,追星|粉丝|数字生活
팬카페,粉丝社区（Daum/Naver粉丝贴吧）,名词,팬카페 가입했어요.,加入了粉丝社区。,追星|粉丝|数字生活
팬 아트,粉丝创作、fan art,名词,팬 아트 올렸어요.,发了粉丝创作。,追星|粉丝|数字生活
팬픽,同人文、粉丝小说,名词,팬픽 읽었어요.,读了同人文。,追星|粉丝|饭圈用语
조공,粉丝向偶像送礼/应援,名词,생일 조공 준비 중이에요.,正在准备生日应援。,追星|应援|饭圈用语
생일 카페,生日咖啡厅（粉丝包咖啡厅为偶像庆生）,名词,생일 카페 예약했어요.,预约了生日咖啡厅。,追星|应援|饭圈用语
전광판 광고,大屏广告应援,名词,전광판 광고 떴어요!,大屏广告应援出来了！,追星|应援|饭圈用语
이벤트 진행,应援活动进行中,名词,생일 이벤트 진행 중이에요.,生日应援活动进行中。,追星|应援
심쿵,心跳加速、被萌到,感叹词,심쿵했어요.,心跳加速了。,追星|感受|饭圈用语
뇌절,反复回放/无法自拔,名词,이 영상 뇌절하고 있어요.,这个视频我反复看停不下来。,追星|饭圈用语
현타,现实感来袭（追星陷太深的清醒感）,名词,갑자기 현타 왔어요.,突然现实感来袭。,追星|饭圈用语
오열,嚎啕大哭（被感动到哭）,名词,무대 보고 오열했어요.,看完舞台嚎啕大哭。,追星|感受|饭圈用语
눈물 쏟다,泪如雨下,短语,무대 끝나고 눈물 쏟았어요.,舞台结束后泪如雨下。,追星|感受
